5	6/10/2018
4	6/14/2018
5	6/16/2018
5	6/16/2018
4	6/17/2018
4	6/19/2018
1	6/19/2018
5	6/20/2018
5	6/21/2018
4	6/21/2018
4	6/22/2018
5	6/22/2018
4	6/22/2018
5	6/23/2018
4	6/24/2018
3	6/24/2018
5	6/24/2018
5	6/24/2018
4	6/24/2018
5	6/24/2018
4	6/25/2018
1	6/25/2018
5	6/25/2018
1	6/25/2018
5	6/25/2018
1	6/25/2018
4	6/26/2018
1	6/26/2018
4	6/26/2018
1	6/26/2018
5	6/27/2018
3	6/27/2018
5	6/28/2018
5	6/28/2018
1	6/28/2018
4	6/28/2018
2	6/28/2018
5	6/29/2018
4	6/29/2018
5	6/29/2018
1	6/29/2018
5	6/30/2018
5	7/1/2018
4	7/2/2018
4	7/2/2018
1	7/2/2018
5	7/3/2018
3	7/3/2018
5	7/4/2018
2	7/4/2018
3	7/4/2018
4	7/4/2018
5	7/5/2018
2	7/5/2018
5	7/6/2018
5	7/8/2018
5	7/8/2018
5	7/9/2018
5	7/9/2018
1	7/9/2018
4	8/24/2018
5	8/24/2018
4	8/25/2018
5	8/25/2018
5	8/25/2018
5	8/26/2018
4	8/26/2018
5	8/26/2018
1	8/26/2018
5	8/26/2018
2	8/27/2018
